timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-11-01T00:22:12.878625+07:00,Cần Thơ,127,/dl/assets/svg/weather/ic-weather-04n.svg,1.1 km/h,100%
2025-11-01T01:35:03.508313+07:00,Cần Thơ,105,/dl/assets/svg/weather/ic-weather-04n.svg,0 km/h,100%
2025-11-01T02:18:17.772831+07:00,Cần Thơ,90,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,100%
2025-11-01T03:27:01.447925+07:00,Cần Thơ,84,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,100%
2025-11-01T04:19:21.789223+07:00,Cần Thơ,84,/dl/assets/svg/weather/ic-weather-03n.svg,0 km/h,100%
2025-11-01T05:22:47.386919+07:00,Cần Thơ,79,/dl/assets/svg/weather/ic-weather-03n.svg,0 km/h,100%
2025-11-01T06:21:19.548718+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-50d.svg,1.1 km/h,100%
2025-11-01T08:57:17.680766+07:00,Cần Thơ,96,/dl/assets/svg/weather/ic-weather-03d.svg,3.4 km/h,94%
2025-11-01T10:16:35.807964+07:00,Cần Thơ,73,/dl/assets/svg/weather/ic-weather-03d.svg,1.1 km/h,79%
2025-11-01T11:26:03.553858+07:00,Cần Thơ,66,/dl/assets/svg/weather/ic-weather-03d.svg,4.6 km/h,84%
2025-11-01T12:22:15.059145+07:00,Cần Thơ,58,/dl/assets/svg/weather/ic-weather-04d.svg,4.6 km/h,70%
2025-11-01T13:32:38.110175+07:00,Cần Thơ,53,/dl/assets/svg/weather/ic-weather-10d.svg,5.7 km/h,66%
2025-11-01T14:20:21.536661+07:00,Cần Thơ,22,/dl/assets/svg/weather/ic-weather-09d.svg,19.6 km/h,94%
2025-11-01T15:28:07.522218+07:00,Cần Thơ,22,/dl/assets/svg/weather/ic-weather-10d.svg,2.3 km/h,94%
