timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-11-01T00:22:04.604567+07:00,Đà Nẵng,22,/dl/assets/svg/weather/ic-weather-09n.svg,8.1 km/h,94%
2025-11-01T01:34:55.011774+07:00,Đà Nẵng,53,/dl/assets/svg/weather/ic-weather-10n.svg,4.6 km/h,100%
2025-11-01T02:18:10.050520+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-10n.svg,5.7 km/h,83%
2025-11-01T03:26:53.173043+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-10n.svg,2.3 km/h,83%
2025-11-01T04:19:14.244368+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-10n.svg,3.4 km/h,89%
2025-11-01T05:22:39.177188+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-10n.svg,3.4 km/h,89%
2025-11-01T06:21:12.369241+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04d.svg,3.4 km/h,83%
2025-11-01T08:57:10.073549+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-04d.svg,3.4 km/h,83%
2025-11-01T10:16:28.103522+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-04d.svg,5.7 km/h,89%
2025-11-01T11:25:55.959467+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-04d.svg,6.9 km/h,83%
2025-11-01T12:22:06.045916+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-10d.svg,3.4 km/h,94%
2025-11-01T13:32:30.207961+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-10d.svg,6.9 km/h,83%
2025-11-01T14:20:14.048233+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-10d.svg,5.7 km/h,78%
2025-11-01T15:27:59.589484+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-04d.svg,8.1 km/h,78%
2025-11-01T16:22:30.923651+07:00,Đà Nẵng,53,/dl/assets/svg/weather/ic-weather-03d.svg,6.9 km/h,78%
2025-11-01T17:23:17.927665+07:00,Đà Nẵng,53,/dl/assets/svg/weather/ic-weather-04d.svg,5.7 km/h,78%
2025-11-01T18:17:45.960482+07:00,Đà Nẵng,53,/dl/assets/svg/weather/ic-weather-04n.svg,4.6 km/h,78%
2025-11-01T19:43:49.811307+07:00,Đà Nẵng,58,/dl/assets/svg/weather/ic-weather-04n.svg,3.4 km/h,94%
2025-11-01T20:27:04.490361+07:00,Đà Nẵng,60,/dl/assets/svg/weather/ic-weather-04n.svg,4.6 km/h,94%
2025-11-01T21:19:33.778120+07:00,Đà Nẵng,64,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-11-01T22:20:24.954443+07:00,Đà Nẵng,62,/dl/assets/svg/weather/ic-weather-04n.svg,3.4 km/h,83%
2025-11-01T23:25:50.984387+07:00,Đà Nẵng,66,/dl/assets/svg/weather/ic-weather-04n.svg,4.6 km/h,89%
2025-11-02T00:17:49.446503+07:00,Đà Nẵng,66,/dl/assets/svg/weather/ic-weather-04n.svg,11.5 km/h,94%
2025-11-02T01:30:02.574905+07:00,Đà Nẵng,62,/dl/assets/svg/weather/ic-weather-04n.svg,5.7 km/h,89%
