timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:20:29.447382+07:00,Đà Nẵng,44,/dl/assets/svg/weather/ic-weather-04n.svg,3.5 km/h,89%
2025-10-01T01:31:08.821688+07:00,Đà Nẵng,44,/dl/assets/svg/weather/ic-weather-04n.svg,3.3 km/h,89%
2025-10-01T02:18:13.911098+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-04n.svg,3.4 km/h,90%
2025-10-01T03:25:32.898427+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.5 km/h,93%
2025-10-01T04:20:16.416760+07:00,Đà Nẵng,69,/dl/assets/svg/weather/ic-weather-04n.svg,3.1 km/h,93%
2025-10-01T05:20:53.826430+07:00,Đà Nẵng,80,/dl/assets/svg/weather/ic-weather-04n.svg,3.2 km/h,94%
2025-10-01T06:20:06.851584+07:00,Đà Nẵng,74,/dl/assets/svg/weather/ic-weather-04d.svg,2.8 km/h,94%
2025-10-01T08:57:41.531718+07:00,Đà Nẵng,75,/dl/assets/svg/weather/ic-weather-04d.svg,4.1 km/h,83%
2025-10-01T10:15:58.791085+07:00,Đà Nẵng,53,/dl/assets/svg/weather/ic-weather-04d.svg,4.2 km/h,71%
2025-10-01T11:27:06.493607+07:00,Đà Nẵng,31,/dl/assets/svg/weather/ic-weather-04d.svg,5.7 km/h,73%
2025-10-01T12:23:02.598787+07:00,Đà Nẵng,22,/dl/assets/svg/weather/ic-weather-04d.svg,7.2 km/h,63%
2025-10-01T13:35:14.600956+07:00,Đà Nẵng,14,/dl/assets/svg/weather/ic-weather-04d.svg,8.7 km/h,68%
2025-10-01T14:23:25.314758+07:00,Đà Nẵng,14,/dl/assets/svg/weather/ic-weather-04d.svg,14.9 km/h,71%
2025-10-01T15:31:41.280995+07:00,Đà Nẵng,14,/dl/assets/svg/weather/ic-weather-04d.svg,9.3 km/h,71%
2025-10-01T16:26:28.720433+07:00,Đà Nẵng,17,/dl/assets/svg/weather/ic-weather-04d.svg,8.1 km/h,75%
2025-10-01T17:24:51.985613+07:00,Đà Nẵng,19,/dl/assets/svg/weather/ic-weather-04d.svg,6.6 km/h,79%
2025-10-01T18:19:51.396176+07:00,Đà Nẵng,25,/dl/assets/svg/weather/ic-weather-04n.svg,6.6 km/h,80%
2025-10-01T19:51:09.199713+07:00,Đà Nẵng,28,/dl/assets/svg/weather/ic-weather-04n.svg,5.8 km/h,84%
2025-10-01T20:33:01.466264+07:00,Đà Nẵng,33,/dl/assets/svg/weather/ic-weather-04n.svg,5.4 km/h,83%
2025-10-01T21:24:00.704637+07:00,Đà Nẵng,25,/dl/assets/svg/weather/ic-weather-04n.svg,4.5 km/h,84%
2025-10-01T22:24:19.096579+07:00,Đà Nẵng,33,/dl/assets/svg/weather/ic-weather-04n.svg,3.3 km/h,87%
2025-10-01T23:29:20.438721+07:00,Đà Nẵng,31,/dl/assets/svg/weather/ic-weather-04n.svg,3.9 km/h,89%
2025-10-02T00:20:09.004683+07:00,Đà Nẵng,52,/dl/assets/svg/weather/ic-weather-04n.svg,4 km/h,89%
