timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:20:37.445021+07:00,Hải Phòng,58,/dl/assets/svg/weather/ic-weather-04n.svg,5.7 km/h,90%
2025-10-01T01:31:13.732699+07:00,Hải Phòng,58,/dl/assets/svg/weather/ic-weather-04n.svg,6.1 km/h,89%
2025-10-01T02:18:16.427905+07:00,Hải Phòng,58,/dl/assets/svg/weather/ic-weather-04n.svg,4.9 km/h,93%
2025-10-01T03:25:35.483767+07:00,Hải Phòng,54,/dl/assets/svg/weather/ic-weather-04n.svg,5 km/h,94%
2025-10-01T04:20:18.953301+07:00,Hải Phòng,50,/dl/assets/svg/weather/ic-weather-04n.svg,5.1 km/h,91%
2025-10-01T05:20:57.906170+07:00,Hải Phòng,42,/dl/assets/svg/weather/ic-weather-04n.svg,5.7 km/h,91%
2025-10-01T06:20:09.463570+07:00,Hải Phòng,42,/dl/assets/svg/weather/ic-weather-04d.svg,5.6 km/h,93%
2025-10-01T08:57:44.141263+07:00,Hải Phòng,53,/dl/assets/svg/weather/ic-weather-04d.svg,6.5 km/h,89%
2025-10-01T10:16:01.176986+07:00,Hải Phòng,33,/dl/assets/svg/weather/ic-weather-04d.svg,7.9 km/h,75%
2025-10-01T11:27:09.163670+07:00,Hải Phòng,33,/dl/assets/svg/weather/ic-weather-04d.svg,9.2 km/h,72%
2025-10-01T12:23:05.118855+07:00,Hải Phòng,33,/dl/assets/svg/weather/ic-weather-04d.svg,9.3 km/h,78%
2025-10-01T13:35:17.281986+07:00,Hải Phòng,33,/dl/assets/svg/weather/ic-weather-04d.svg,9.7 km/h,72%
2025-10-01T14:23:28.959513+07:00,Hải Phòng,44,/dl/assets/svg/weather/ic-weather-04d.svg,14.2 km/h,75%
2025-10-01T15:31:44.024313+07:00,Hải Phòng,47,/dl/assets/svg/weather/ic-weather-04d.svg,8.5 km/h,75%
2025-10-01T16:26:31.430058+07:00,Hải Phòng,25,/dl/assets/svg/weather/ic-weather-04d.svg,8.1 km/h,72%
2025-10-01T17:24:54.473613+07:00,Hải Phòng,25,/dl/assets/svg/weather/ic-weather-04d.svg,7.1 km/h,73%
2025-10-01T18:19:53.921752+07:00,Hải Phòng,36,/dl/assets/svg/weather/ic-weather-04n.svg,6.2 km/h,83%
2025-10-01T19:51:11.690051+07:00,Hải Phòng,33,/dl/assets/svg/weather/ic-weather-04n.svg,5.2 km/h,86%
2025-10-01T20:33:03.948036+07:00,Hải Phòng,39,/dl/assets/svg/weather/ic-weather-04n.svg,4.2 km/h,84%
2025-10-01T21:24:03.581223+07:00,Hải Phòng,53,/dl/assets/svg/weather/ic-weather-04n.svg,4.4 km/h,89%
2025-10-01T22:24:21.632543+07:00,Hải Phòng,42,/dl/assets/svg/weather/ic-weather-04n.svg,3.6 km/h,89%
2025-10-01T23:29:23.089967+07:00,Hải Phòng,55,/dl/assets/svg/weather/ic-weather-04n.svg,3.8 km/h,89%
2025-10-02T00:20:11.758614+07:00,Hải Phòng,58,/dl/assets/svg/weather/ic-weather-04n.svg,3.5 km/h,89%
2025-10-02T01:33:40.007695+07:00,Hải Phòng,53,/dl/assets/svg/weather/ic-weather-04n.svg,2.9 km/h,89%
2025-10-02T02:18:35.674530+07:00,Hải Phòng,53,/dl/assets/svg/weather/ic-weather-04n.svg,3.1 km/h,93%
2025-10-02T03:26:20.681178+07:00,Hải Phòng,57,/dl/assets/svg/weather/ic-weather-04n.svg,3.2 km/h,92%
2025-10-02T04:20:30.088772+07:00,Hải Phòng,55,/dl/assets/svg/weather/ic-weather-04n.svg,2.5 km/h,93%
2025-10-02T05:21:10.777443+07:00,Hải Phòng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.4 km/h,92%
2025-10-02T06:19:38.830537+07:00,Hải Phòng,62,/dl/assets/svg/weather/ic-weather-04d.svg,2.3 km/h,93%
2025-10-02T08:45:23.293501+07:00,Hải Phòng,57,/dl/assets/svg/weather/ic-weather-04d.svg,3.2 km/h,87%
2025-10-02T10:00:02.323130+07:00,Hải Phòng,47,/dl/assets/svg/weather/ic-weather-04d.svg,4.5 km/h,77%
