timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:20:18.161444+07:00,Hà Nội,71,/dl/assets/svg/weather/ic-weather-04n.svg,4.5 km/h,95%
2025-10-01T01:31:03.628043+07:00,Hà Nội,88,/dl/assets/svg/weather/ic-weather-04n.svg,4 km/h,95%
2025-10-01T02:18:08.884746+07:00,Hà Nội,90,/dl/assets/svg/weather/ic-weather-04n.svg,4.9 km/h,96%
2025-10-01T03:25:27.239130+07:00,Hà Nội,93,/dl/assets/svg/weather/ic-weather-04n.svg,5.1 km/h,98%
2025-10-01T04:20:10.337441+07:00,Hà Nội,87,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,97%
2025-10-01T05:20:48.755840+07:00,Hà Nội,75,/dl/assets/svg/weather/ic-weather-04n.svg,4 km/h,98%
2025-10-01T06:20:01.584055+07:00,Hà Nội,84,/dl/assets/svg/weather/ic-weather-04d.svg,3.8 km/h,95%
2025-10-01T08:57:36.672674+07:00,Hà Nội,81,/dl/assets/svg/weather/ic-weather-04d.svg,5.1 km/h,90%
2025-10-01T10:15:53.542721+07:00,Hà Nội,58,/dl/assets/svg/weather/ic-weather-04d.svg,9.4 km/h,74%
2025-10-01T11:27:01.218323+07:00,Hà Nội,56,/dl/assets/svg/weather/ic-weather-04d.svg,10.5 km/h,72%
2025-10-01T12:22:57.385899+07:00,Hà Nội,56,/dl/assets/svg/weather/ic-weather-04d.svg,10.4 km/h,72%
2025-10-01T13:35:09.644136+07:00,Hà Nội,56,/dl/assets/svg/weather/ic-weather-04d.svg,9.7 km/h,71%
2025-10-01T14:23:20.587307+07:00,Hà Nội,44,/dl/assets/svg/weather/ic-weather-04d.svg,15 km/h,79%
2025-10-01T15:31:35.731425+07:00,Hà Nội,56,/dl/assets/svg/weather/ic-weather-04d.svg,9.2 km/h,79%
