timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-11-01T00:22:02.200968+07:00,Hồ Chí Minh,116,/dl/assets/svg/weather/ic-weather-02n.svg,2.3 km/h,90%
2025-11-01T01:34:52.400218+07:00,Hồ Chí Minh,123,/dl/assets/svg/weather/ic-weather-01n.svg,2.3 km/h,91%
2025-11-01T02:18:07.525930+07:00,Hồ Chí Minh,150,/dl/assets/svg/weather/ic-weather-04n.svg,3.4 km/h,94%
2025-11-01T03:26:50.602677+07:00,Hồ Chí Minh,154,/dl/assets/svg/weather/ic-weather-03n.svg,2.3 km/h,95%
2025-11-01T04:19:11.923199+07:00,Hồ Chí Minh,156,/dl/assets/svg/weather/ic-weather-02n.svg,2.3 km/h,97%
2025-11-01T05:22:36.541799+07:00,Hồ Chí Minh,147,/dl/assets/svg/weather/ic-weather-03n.svg,4 km/h,98%
2025-11-01T06:21:09.711514+07:00,Hồ Chí Minh,140,/dl/assets/svg/weather/ic-weather-02d.svg,3.4 km/h,98%
2025-11-01T08:57:07.565439+07:00,Hồ Chí Minh,140,/dl/assets/svg/weather/ic-weather-50d.svg,4.6 km/h,94%
2025-11-01T10:16:25.635681+07:00,Hồ Chí Minh,95,/dl/assets/svg/weather/ic-weather-03d.svg,2.3 km/h,82%
2025-11-01T11:25:53.332048+07:00,Hồ Chí Minh,84,/dl/assets/svg/weather/ic-weather-03d.svg,8.1 km/h,70%
2025-11-01T12:22:03.750492+07:00,Hồ Chí Minh,70,/dl/assets/svg/weather/ic-weather-04d.svg,4.6 km/h,94%
2025-11-01T13:32:27.681684+07:00,Hồ Chí Minh,79,/dl/assets/svg/weather/ic-weather-10d.svg,5.7 km/h,94%
2025-11-01T14:20:11.598470+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-10d.svg,5.7 km/h,89%
2025-11-01T15:27:57.050279+07:00,Hồ Chí Minh,81,/dl/assets/svg/weather/ic-weather-10d.svg,5.7 km/h,91%
2025-11-01T16:22:28.380868+07:00,Hồ Chí Minh,87,/dl/assets/svg/weather/ic-weather-04d.svg,4.6 km/h,93%
2025-11-01T17:23:15.323385+07:00,Hồ Chí Minh,85,/dl/assets/svg/weather/ic-weather-03d.svg,5.7 km/h,93%
