timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:20:26.828510+07:00,Hồ Chí Minh,86,/dl/assets/svg/weather/ic-weather-04n.svg,2.8 km/h,89%
2025-10-01T01:31:06.296373+07:00,Hồ Chí Minh,97,/dl/assets/svg/weather/ic-weather-04n.svg,2.1 km/h,90%
2025-10-01T02:18:11.481293+07:00,Hồ Chí Minh,110,/dl/assets/svg/weather/ic-weather-03n.svg,2.3 km/h,91%
2025-10-01T03:25:30.042440+07:00,Hồ Chí Minh,121,/dl/assets/svg/weather/ic-weather-02n.svg,0.2 km/h,93%
2025-10-01T04:20:12.869320+07:00,Hồ Chí Minh,123,/dl/assets/svg/weather/ic-weather-02n.svg,1 km/h,93%
2025-10-01T05:20:51.376498+07:00,Hồ Chí Minh,136,/dl/assets/svg/weather/ic-weather-02n.svg,1.6 km/h,93%
2025-10-01T06:20:04.246611+07:00,Hồ Chí Minh,144,/dl/assets/svg/weather/ic-weather-02d.svg,1.5 km/h,94%
2025-10-01T08:57:39.036679+07:00,Hồ Chí Minh,144,/dl/assets/svg/weather/ic-weather-03d.svg,3.1 km/h,81%
2025-10-01T10:15:56.376755+07:00,Hồ Chí Minh,90,/dl/assets/svg/weather/ic-weather-02d.svg,1.7 km/h,71%
2025-10-01T11:27:03.865082+07:00,Hồ Chí Minh,77,/dl/assets/svg/weather/ic-weather-02d.svg,1.6 km/h,61%
2025-10-01T12:22:59.948530+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-02d.svg,2.6 km/h,61%
2025-10-01T13:35:12.143169+07:00,Hồ Chí Minh,77,/dl/assets/svg/weather/ic-weather-03d.svg,2.7 km/h,62%
2025-10-01T14:23:23.015273+07:00,Hồ Chí Minh,81,/dl/assets/svg/weather/ic-weather-04d.svg,8 km/h,68%
2025-10-01T15:31:38.566892+07:00,Hồ Chí Minh,60,/dl/assets/svg/weather/ic-weather-04d.svg,10.2 km/h,77%
2025-10-01T16:26:25.594869+07:00,Hồ Chí Minh,68,/dl/assets/svg/weather/ic-weather-04d.svg,10.2 km/h,77%
2025-10-01T17:24:49.509960+07:00,Hồ Chí Minh,73,/dl/assets/svg/weather/ic-weather-04d.svg,8.7 km/h,88%
