timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-09-15T19:04:30.514314+07:00,Nha Trang,34,/dl/assets/svg/weather/ic-weather-03n.svg,2.2 km/h,78%
2025-09-15T19:36:55.518578+07:00,Nha Trang,34,/dl/assets/svg/weather/ic-weather-03n.svg,2.2 km/h,78%
2025-09-15T20:27:01.645212+07:00,Nha Trang,40,/dl/assets/svg/weather/ic-weather-03n.svg,1.9 km/h,81%
2025-09-15T21:11:50.199076+07:00,Nha Trang,40,/dl/assets/svg/weather/ic-weather-04n.svg,2 km/h,86%
2025-09-15T22:25:09.449206+07:00,Nha Trang,52,/dl/assets/svg/weather/ic-weather-04n.svg,3.6 km/h,85%
2025-09-15T23:29:37.188771+07:00,Nha Trang,52,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,87%
2025-09-16T00:19:45.446453+07:00,Nha Trang,31,/dl/assets/svg/weather/ic-weather-04n.svg,4.6 km/h,89%
2025-09-16T01:33:07.895588+07:00,Nha Trang,31,/dl/assets/svg/weather/ic-weather-04n.svg,5.2 km/h,89%
2025-09-16T02:18:08.848462+07:00,Nha Trang,31,/dl/assets/svg/weather/ic-weather-04n.svg,5.7 km/h,90%
2025-09-16T03:24:45.759981+07:00,Nha Trang,31,/dl/assets/svg/weather/ic-weather-04n.svg,5.5 km/h,91%
2025-09-16T04:20:11.160730+07:00,Nha Trang,28,/dl/assets/svg/weather/ic-weather-04n.svg,6.9 km/h,90%
2025-09-16T05:20:25.443320+07:00,Nha Trang,39,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,90%
2025-09-16T06:19:23.532055+07:00,Nha Trang,39,/dl/assets/svg/weather/ic-weather-04d.svg,3.9 km/h,87%
2025-09-16T08:45:00.520734+07:00,Nha Trang,38,/dl/assets/svg/weather/ic-weather-04d.svg,3.9 km/h,69%
2025-09-16T09:59:10.857235+07:00,Nha Trang,38,/dl/assets/svg/weather/ic-weather-04d.svg,1.6 km/h,63%
2025-09-16T10:34:09.691386+07:00,Nha Trang,28,/dl/assets/svg/weather/ic-weather-04d.svg,2.9 km/h,60%
2025-09-16T11:26:59.238382+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04d.svg,6.8 km/h,60%
2025-09-16T12:21:41.540842+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04d.svg,8.9 km/h,58%
2025-09-16T13:34:53.965190+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04d.svg,7.7 km/h,66%
2025-09-16T14:22:47.468870+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04d.svg,4.4 km/h,68%
2025-09-16T15:31:40.027133+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04d.svg,3.4 km/h,70%
2025-09-16T16:25:49.917244+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04d.svg,3.5 km/h,69%
2025-09-16T17:24:19.265531+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-10n.svg,0 km/h,74%
2025-09-16T18:18:59.159805+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-10n.svg,2.2 km/h,75%
2025-09-16T19:49:03.617045+07:00,Nha Trang,66,/dl/assets/svg/weather/ic-weather-10n.svg,5.8 km/h,78%
2025-09-16T20:32:17.939900+07:00,Nha Trang,66,/dl/assets/svg/weather/ic-weather-10n.svg,4.1 km/h,83%
2025-09-16T21:23:55.322634+07:00,Nha Trang,66,/dl/assets/svg/weather/ic-weather-10n.svg,4.7 km/h,87%
2025-09-16T22:25:35.369143+07:00,Nha Trang,22,/dl/assets/svg/weather/ic-weather-04n.svg,2.2 km/h,88%
2025-09-16T23:29:31.079941+07:00,Nha Trang,20,/dl/assets/svg/weather/ic-weather-10n.svg,3.9 km/h,89%
2025-09-17T00:20:00.727220+07:00,Nha Trang,20,/dl/assets/svg/weather/ic-weather-10n.svg,4 km/h,89%
2025-09-17T01:32:51.992132+07:00,Nha Trang,20,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,92%
2025-09-17T02:18:14.294113+07:00,Nha Trang,30,/dl/assets/svg/weather/ic-weather-04n.svg,3.7 km/h,92%
2025-09-17T03:25:23.734008+07:00,Nha Trang,30,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,93%
2025-09-17T04:20:30.134546+07:00,Nha Trang,30,/dl/assets/svg/weather/ic-weather-04n.svg,4.2 km/h,89%
2025-09-17T05:20:11.927589+07:00,Nha Trang,30,/dl/assets/svg/weather/ic-weather-04n.svg,4.9 km/h,89%
2025-09-17T06:18:06.529696+07:00,Nha Trang,54,/dl/assets/svg/weather/ic-weather-04d.svg,4.4 km/h,88%
