timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-11-01T00:23:17.865115+07:00,Vinh,77,/dl/assets/svg/weather/ic-weather-10n.svg,2.5 km/h,97%
2025-11-01T01:36:09.329358+07:00,Vinh,73,/dl/assets/svg/weather/ic-weather-10n.svg,5.5 km/h,98%
2025-11-01T02:19:22.909387+07:00,Vinh,75,/dl/assets/svg/weather/ic-weather-10n.svg,8.6 km/h,98%
2025-11-01T03:28:06.674967+07:00,Vinh,82,/dl/assets/svg/weather/ic-weather-10n.svg,7.8 km/h,96%
2025-11-01T04:20:26.366850+07:00,Vinh,86,/dl/assets/svg/weather/ic-weather-10n.svg,8.1 km/h,98%
2025-11-01T05:23:52.449495+07:00,Vinh,81,/dl/assets/svg/weather/ic-weather-10n.svg,7.4 km/h,97%
2025-11-01T06:22:27.513016+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,7.4 km/h,96%
2025-11-01T08:58:23.221490+07:00,Vinh,56,/dl/assets/svg/weather/ic-weather-04d.svg,8.9 km/h,96%
2025-11-01T10:17:40.871131+07:00,Vinh,53,/dl/assets/svg/weather/ic-weather-04d.svg,10.7 km/h,98%
2025-11-01T11:27:08.842132+07:00,Vinh,55,/dl/assets/svg/weather/ic-weather-04d.svg,11 km/h,97%
2025-11-01T12:23:20.678466+07:00,Vinh,44,/dl/assets/svg/weather/ic-weather-04d.svg,10.4 km/h,97%
2025-11-01T13:33:43.384726+07:00,Vinh,56,/dl/assets/svg/weather/ic-weather-04d.svg,9.7 km/h,96%
2025-11-01T14:21:27.089639+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,8.7 km/h,96%
2025-11-01T15:29:12.912370+07:00,Vinh,71,/dl/assets/svg/weather/ic-weather-04d.svg,8.7 km/h,96%
2025-11-01T16:23:43.613321+07:00,Vinh,75,/dl/assets/svg/weather/ic-weather-04d.svg,9.8 km/h,96%
2025-11-01T17:24:45.645045+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,10.6 km/h,96%
2025-11-01T18:18:58.947623+07:00,Vinh,73,/dl/assets/svg/weather/ic-weather-04n.svg,11.1 km/h,95%
2025-11-01T19:45:02.436597+07:00,Vinh,73,/dl/assets/svg/weather/ic-weather-04n.svg,13.3 km/h,94%
2025-11-01T20:28:17.727307+07:00,Vinh,75,/dl/assets/svg/weather/ic-weather-04n.svg,13.4 km/h,94%
2025-11-01T21:20:46.679987+07:00,Vinh,84,/dl/assets/svg/weather/ic-weather-04n.svg,12.8 km/h,94%
2025-11-01T22:21:38.689107+07:00,Vinh,88,/dl/assets/svg/weather/ic-weather-04n.svg,11.6 km/h,94%
2025-11-01T23:27:03.757130+07:00,Vinh,82,/dl/assets/svg/weather/ic-weather-04n.svg,9.6 km/h,94%
2025-11-02T00:19:02.599926+07:00,Vinh,79,/dl/assets/svg/weather/ic-weather-04n.svg,9.4 km/h,94%
2025-11-02T01:31:23.357520+07:00,Vinh,84,/dl/assets/svg/weather/ic-weather-04n.svg,9.3 km/h,94%
2025-11-02T02:17:50.829050+07:00,Vinh,96,/dl/assets/svg/weather/ic-weather-04n.svg,9.6 km/h,94%
2025-11-02T03:23:58.417922+07:00,Vinh,115,/dl/assets/svg/weather/ic-weather-04n.svg,10 km/h,93%
2025-11-02T04:19:55.412588+07:00,Vinh,102,/dl/assets/svg/weather/ic-weather-04n.svg,9.4 km/h,91%
