timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:21:47.128613+07:00,Vinh,73,/dl/assets/svg/weather/ic-weather-04n.svg,3 km/h,91%
2025-10-01T01:32:24.002655+07:00,Vinh,71,/dl/assets/svg/weather/ic-weather-04n.svg,2.1 km/h,92%
2025-10-01T02:19:26.882568+07:00,Vinh,68,/dl/assets/svg/weather/ic-weather-04n.svg,1.9 km/h,92%
2025-10-01T03:26:56.734009+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04n.svg,2.1 km/h,92%
2025-10-01T04:21:28.985295+07:00,Vinh,71,/dl/assets/svg/weather/ic-weather-04n.svg,2.1 km/h,93%
2025-10-01T05:22:08.642093+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-10-01T06:21:20.770278+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,2.5 km/h,94%
2025-10-01T08:58:54.379874+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,3.2 km/h,88%
2025-10-01T10:17:11.114180+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,1.7 km/h,79%
2025-10-01T11:28:20.525904+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,2.8 km/h,74%
2025-10-01T12:24:15.472999+07:00,Vinh,60,/dl/assets/svg/weather/ic-weather-04d.svg,5.2 km/h,73%
2025-10-01T13:36:27.119058+07:00,Vinh,58,/dl/assets/svg/weather/ic-weather-04d.svg,7.1 km/h,73%
2025-10-01T14:24:39.309153+07:00,Vinh,64,/dl/assets/svg/weather/ic-weather-04d.svg,13.8 km/h,77%
2025-10-01T15:32:55.283663+07:00,Vinh,60,/dl/assets/svg/weather/ic-weather-04d.svg,9.3 km/h,78%
2025-10-01T16:27:42.163219+07:00,Vinh,53,/dl/assets/svg/weather/ic-weather-04d.svg,10 km/h,79%
2025-10-01T17:26:04.315782+07:00,Vinh,58,/dl/assets/svg/weather/ic-weather-04d.svg,8.9 km/h,84%
2025-10-01T18:21:04.056962+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-04n.svg,6.9 km/h,87%
2025-10-01T19:52:21.632553+07:00,Vinh,68,/dl/assets/svg/weather/ic-weather-04n.svg,5.3 km/h,88%
2025-10-01T20:34:13.980021+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-04n.svg,4.7 km/h,87%
2025-10-01T21:25:16.657624+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-04n.svg,4.7 km/h,88%
2025-10-01T22:25:32.009651+07:00,Vinh,58,/dl/assets/svg/weather/ic-weather-04n.svg,4.5 km/h,89%
2025-10-01T23:30:33.879028+07:00,Vinh,62,/dl/assets/svg/weather/ic-weather-04n.svg,3.8 km/h,90%
2025-10-02T00:21:22.270370+07:00,Vinh,56,/dl/assets/svg/weather/ic-weather-04n.svg,3.4 km/h,93%
2025-10-02T01:34:50.377849+07:00,Vinh,60,/dl/assets/svg/weather/ic-weather-04n.svg,3.5 km/h,94%
2025-10-02T02:19:46.633670+07:00,Vinh,60,/dl/assets/svg/weather/ic-weather-04n.svg,3.1 km/h,95%
2025-10-02T03:27:31.131351+07:00,Vinh,62,/dl/assets/svg/weather/ic-weather-04n.svg,2.6 km/h,95%
2025-10-02T04:21:40.462886+07:00,Vinh,53,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-10-02T05:22:33.345092+07:00,Vinh,53,/dl/assets/svg/weather/ic-weather-04n.svg,2.8 km/h,94%
2025-10-02T06:20:49.762201+07:00,Vinh,55,/dl/assets/svg/weather/ic-weather-04d.svg,3.4 km/h,94%
2025-10-02T08:46:41.078336+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-03d.svg,3.1 km/h,86%
2025-10-02T10:01:16.388451+07:00,Vinh,64,/dl/assets/svg/weather/ic-weather-03d.svg,2.7 km/h,80%
2025-10-02T10:35:56.760418+07:00,Vinh,62,/dl/assets/svg/weather/ic-weather-03d.svg,3 km/h,73%
2025-10-02T11:28:05.801889+07:00,Vinh,68,/dl/assets/svg/weather/ic-weather-03d.svg,4.9 km/h,70%
2025-10-02T12:22:45.602898+07:00,Vinh,58,/dl/assets/svg/weather/ic-weather-03d.svg,5.8 km/h,69%
2025-10-02T13:35:16.758564+07:00,Vinh,50,/dl/assets/svg/weather/ic-weather-03d.svg,6.2 km/h,68%
2025-10-02T14:22:35.877537+07:00,Vinh,55,/dl/assets/svg/weather/ic-weather-01d.svg,7.1 km/h,68%
2025-10-02T15:31:19.748124+07:00,Vinh,50,/dl/assets/svg/weather/ic-weather-03d.svg,8.1 km/h,70%
2025-10-02T16:25:05.601281+07:00,Vinh,99,/dl/assets/svg/weather/ic-weather-04d.svg,8.8 km/h,74%
2025-10-02T17:24:16.932554+07:00,Vinh,53,/dl/assets/svg/weather/ic-weather-03d.svg,7.9 km/h,80%
