timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-09-15T19:05:36.608728+07:00,Vinh,165,/dl/assets/svg/weather/ic-weather-04n.svg,5.3 km/h,80%
2025-09-15T19:38:02.001559+07:00,Vinh,139,/dl/assets/svg/weather/ic-weather-04n.svg,5.3 km/h,80%
2025-09-15T20:28:07.552809+07:00,Vinh,102,/dl/assets/svg/weather/ic-weather-10n.svg,4.5 km/h,81%
2025-09-15T21:13:00.068915+07:00,Vinh,102,/dl/assets/svg/weather/ic-weather-10n.svg,3.4 km/h,82%
2025-09-15T22:26:19.376037+07:00,Vinh,77,/dl/assets/svg/weather/ic-weather-04n.svg,3.3 km/h,85%
2025-09-15T23:30:45.376713+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04n.svg,2.2 km/h,89%
2025-09-16T00:20:53.825736+07:00,Vinh,64,/dl/assets/svg/weather/ic-weather-04n.svg,1.9 km/h,90%
2025-09-16T01:34:20.785588+07:00,Vinh,62,/dl/assets/svg/weather/ic-weather-04n.svg,2.8 km/h,91%
2025-09-16T02:19:22.588912+07:00,Vinh,56,/dl/assets/svg/weather/ic-weather-04n.svg,3.1 km/h,91%
2025-09-16T03:25:54.813380+07:00,Vinh,64,/dl/assets/svg/weather/ic-weather-04n.svg,4.3 km/h,92%
2025-09-16T04:21:19.392720+07:00,Vinh,73,/dl/assets/svg/weather/ic-weather-04n.svg,7.9 km/h,94%
2025-09-16T05:21:33.555770+07:00,Vinh,92,/dl/assets/svg/weather/ic-weather-04n.svg,5 km/h,95%
2025-09-16T06:20:32.392694+07:00,Vinh,117,/dl/assets/svg/weather/ic-weather-04d.svg,4.9 km/h,95%
2025-09-16T08:46:08.547964+07:00,Vinh,160,/dl/assets/svg/weather/ic-weather-04d.svg,6 km/h,88%
2025-09-16T10:00:27.495315+07:00,Vinh,156,/dl/assets/svg/weather/ic-weather-04d.svg,5.7 km/h,82%
2025-09-16T10:35:17.380447+07:00,Vinh,69,/dl/assets/svg/weather/ic-weather-04d.svg,5.5 km/h,75%
2025-09-16T11:28:07.387706+07:00,Vinh,66,/dl/assets/svg/weather/ic-weather-04d.svg,5.5 km/h,70%
2025-09-16T12:22:54.390253+07:00,Vinh,58,/dl/assets/svg/weather/ic-weather-04d.svg,6.3 km/h,68%
2025-09-16T13:36:02.428122+07:00,Vinh,56,/dl/assets/svg/weather/ic-weather-04d.svg,7.2 km/h,67%
2025-09-16T14:23:55.992574+07:00,Vinh,39,/dl/assets/svg/weather/ic-weather-10d.svg,13.1 km/h,69%
2025-09-16T15:32:48.146252+07:00,Vinh,39,/dl/assets/svg/weather/ic-weather-10d.svg,8.8 km/h,71%
2025-09-16T16:26:57.791526+07:00,Vinh,39,/dl/assets/svg/weather/ic-weather-10d.svg,8.9 km/h,70%
2025-09-16T17:25:27.362162+07:00,Vinh,39,/dl/assets/svg/weather/ic-weather-10d.svg,7.9 km/h,75%
2025-09-16T18:20:07.119142+07:00,Vinh,33,/dl/assets/svg/weather/ic-weather-03n.svg,6 km/h,79%
2025-09-16T19:50:13.395562+07:00,Vinh,55,/dl/assets/svg/weather/ic-weather-03n.svg,8.8 km/h,79%
